Tweet,Value
"@Mzavalagc @Pajaropolitico Señora, si usted tuviera un poquito de dignidad debía retirarse de su campaña. Hasta “El Bronco” le va ganando, y eso ya es decir...",-1
"@Mzavalagc @Mzavalagc  hoy fui a dar mi firma porque yo confió en ti , vamos a ganar !!",1
"@Mzavalagc @JLozanoA @Mzavalagc @tumbaburross señora por favor avisen por mensaje cuando van a estar en Acapulco me urge firmar para tener una Presidente estas próximas elecciones, mi voto y la de mi familia están con usted 🙏🙏🙏",1
"@Mzavalagc @AbimaelSixx6 Si lo amarán no te hubieran firmado nada, solo es gente jodida aspiracionales y otros enfermos sedientos de sangre... Extrañan esos tiempos donde en los estados no podían ni salir de sus casas.",-1
@Mzavalagc Le sienta bien un nuevo look más maquillada.,1
@Mzavalagc @FelipeCalderon  https://t.co/LEGNTRDpRw,0
@Mzavalagc Si como no ahorita,0
@Mzavalagc Ve a Monterrey ahí si tienen problemas de percepción de la política,1
@Mzavalagc NO y no y no,-1
@Mzavalagc @FelipeCalderon  https://t.co/BIyT4AvDzN,0
"@Mzavalagc deja al felipón, por favor. Sólo si quieres ser presidenta https://t.co/CSBFMC3roK",1
@Mzavalagc @FelipeCalderon No!,-1
"@Mzavalagc Que bueno que lo mencionas.
NO... no estamos comprometidos!
Jajajajajajaj",1
@Mzavalagc https://t.co/ISXF8HNHE2,0
@Mzavalagc @FelipeCalderon https://t.co/tSGWPfdkmS,0
"@Mzavalagc Primero junta tus FRACASADAS FIRMAS 😂😂😂

#MiVotoParaAMLO 
#MiVotoParaAMLO",-1
@Mzavalagc @Pajaropolitico Así como meter a la cárcel a incubridores y asesinos de la guardería ABC,-1
@Mzavalagc 100.000son las personas de un pueblo cuantos te firmaron a nivel República ahí es donde se cuenta con la gente creo que no llegas,0
"@Mzavalagc @FelipeCalderon Mañana si que lo hago ,  creo que nos quedaremos sin independientes",1
@Mzavalagc Excelente ahí estaremos,1
@Mzavalagc Haganlo sacando copias mejor...,-1
"@Mzavalagc  😅😅😅😆😆😆😆 el Dr Simi, yo creo que jala mas gente que tu !!!! https://t.co/aF8Rj2k1rx",-1
"@Mzavalagc @Pajaropolitico Me parece tendenciosa su afirmación que la violencia hacia las mujeres proviene de los hombres, hay mujeres que son violentas,",-1
"@Mzavalagc Y esto quien lo paga,el ine o quien? Disculpen mi ignorancia.",1
@Mzavalagc @Pajaropolitico Tarjeta roja!! . . .,-1
@Mzavalagc Aquí por recursos no paramos!,1
@Mzavalagc @FelipeCalderon paria encubridora de un asesino y borracho no te cansas de robar?? vamos dijon la mosca  solo medio sabes hablar creo tu eres alcholica o drogadicta,-1
"@Mzavalagc @Pajaropolitico Me sorprende cada vez + su intelecto Mago, tiene unas tablas para mezclar el reglamento del fut y la violencia, estoy anonadado, le voy a mandar unas diputadas del PRI para que les quite la violencia verbal que han aprendido, pobres de sus maridos, al igual de usted, con el suyo.",-1
"@Mzavalagc No me lo tomes a mal.
No solo tienes gente que te rechaza, sino pocos creyentes; es más fácil pedir Perdón por la guerra fallida de Calderón, que poner tus módulos, incluso llegarías casi a la meta.",1
@Mzavalagc @Pajaropolitico Hola,1
@Mzavalagc Que hay que hacer? Lo intenté desde el primer día y no aceptó mi fecha de nacimiento,1
"@Mzavalagc Un módulo por 10,000 km2. No estoy taaaan seguro de ese dato de la cercanía.",0
@Mzavalagc Se ve que no te has puesto a pensar en que solo en la calenturienta mente de @FelipeCalderon  te ves como favorita @Mzavalagc,-1
@Mzavalagc @Pajaropolitico De cual fumo ested ya esta disbariando,-1
@Mzavalagc Donde puedo@firmar en boca del@río ?,1
@Mzavalagc @Mzavalagc #NoDesperdicioMiFirma #Chimoltrufia2018 #BORRACHAIROS,0
"@Mzavalagc @Pajaropolitico Creo que esta señora un día se despertó y dijo "" quiero ser presidenta"" , no tiene nada para ganar!",-1
@Mzavalagc @RedCiudadanaMaZ Donde están direcciones para poder asistir,1
@Mzavalagc @FelipeCalderon Y tus propuestas?,-1
@Mzavalagc @JaimeRdzNL @PedroFerriz Si queremos cambiar las cosas en nuestro pais yo creo que Mexico necesita que ustedes tres esten en la boleta como independientes pero unidos!,1
@Mzavalagc un gusto poder contribuir a la causa y verte en las boletas del 2018! https://t.co/WLF4lquIfw,1
@Mzavalagc Cuenta  con todos  Monterrey todo nuevo león con alegría,1
@Mzavalagc @Pajaropolitico Pregúntale a tu culero corrupto marido sobre los feminicidios en su sexenio. Estúpida,-1
@Mzavalagc @FelipeCalderon chinga tu madre.,-1
@Mzavalagc Estampa d3 una tonta con aspiraciones muy altas!,-1
"@Mzavalagc Ni madres!!! No insista , su alcohólico esposo ya saqueo al país seis años, que no fue suficiente?disfruten el botín  ya no chinguen",-1
@Mzavalagc 40 con todo Monterrey todo muevo León con alegría,1
"@Mzavalagc Habrá módulo en Tampico, Tam? Vamos @Mzavalagc",1
@Mzavalagc @Pajaropolitico Ahorita preocúpate por juntar las firmas necesarias por favor !!,0
"@Mzavalagc No soy profeta ni hijo de profeta. Pero vaticino que no llegarás por pasguata, tartufa y gris.",-1
@Mzavalagc @FelipeCalderon Y las tortas con Boing?,0
@Mzavalagc @FelipeCalderon NO TENEMOS PAN DURO HOY SEÑITO. VENGA LA OTRA SEMANA,-1
@Mzavalagc ¡Lleven sillas para que puedan esperar sentados!,1
@Mzavalagc @Pajaropolitico totalmente de acuerdo doctora quiero firmar por ti mi apoyo...,1
@Mzavalagc En Ecatepec????,1
"@Mzavalagc @FelipeCalderon ni drogado o borracho o con algun desorden mental, firmaria para una candidatura independiente para esta persona",-1
@Mzavalagc @Pajaropolitico Empecemos por ti cómplice de un genocida. https://t.co/cG1Vmngfot,-1
@Mzavalagc  ya esta en Merida! 😀👍 acompañala a las 4:00pm en la plaza de armas (Zocalo)   Ven a firmar por México! 🇲🇽✍️ https://t.co/YOJfYjCmef,0
"@Mzavalagc @Pajaropolitico Loser loser loser loser loser loser, ya pusite tu modulo en Hermosillo ???",0
@Mzavalagc @Pajaropolitico Imbécil,-1
@Mzavalagc Ahí podemos reclamar por la maldita inseguridad que se empezó en el sexenio del PAN??,-1
@Mzavalagc @FelipeCalderon Así van a estar cada uno de los 200 https://t.co/cXfkUpoOGd,0
@Mzavalagc Queremos mucho a la familia Calderón Zavala 👍🌹,1
"@Mzavalagc Si doy mi firma, ¿ya no podré votar por AMLO??",1
@JorgeGCastaneda @ElFinanciero_Mx El francotirador de @RicardoAnayaC éste será  el candidato del frente ancho  #MiniColumna. @Galileos_,0
@JorgeGCastaneda De todos los independientes debería quedar solo una terna y quizás el pueblo firme a favor de uno de ellos,1
@JorgeGCastaneda Obvio quien va a conseguir un millón de firmas? Es plan con maña,1
"@JorgeGCastaneda Son un rotundo fracaso los independientes, hay tenemos al bronco o pony, salió igual o peor que los del pri.",-1
"@JorgeGCastaneda @ElFinanciero_Mx Frente que no puede quitarse de encima la etiqueta de OPOSICIÓN, solo para que pierda el que esté en algún puesto de poder, lugar que ellos quieren ocupar. NO es un FRENTE PARA BUSCAR EL MÁXIMO BENEFICIO PARA EL CIUDADANO, no para nada, solo buscan puestos y dinero del ciudadano",-1
"@JorgeGCastaneda @ElFinanciero_Mx Muy cierto, si la candidatura de Anaya ya generó inconformidad y molestias a algunos, pues ya de una vez formalizarla. Aplazar el anuncio no hará que los inconformes cambien de parecer. #ElFrenteVa",-1
"@JorgeGCastaneda @ElFinanciero_Mx Hay tres candidatos claros del #FrenteCiudadano Presidente: Ricardo Anaya PAN, CDMX: Alejandra Barrales PRD, Jalisco: Enrique Alfaro MC.",1
@JorgeGCastaneda @ElFinanciero_Mx ¿¿??,0
@JorgeGCastaneda @ElFinanciero_Mx Aqui el onanismo de Castañeda,-1
@JorgeGCastaneda @ElFinanciero_Mx lo más triste es que si @RicardoAnayaC  queda como candidato adiós al mentado #FrenteCiudadano,-1
"@JorgeGCastaneda @ElFinanciero_Mx Y no te da hueva, Jorge?",-1
"@JorgeGCastaneda Doctor: Deje que le empiecen a meter más billetes, y mnos olvidaremos de ese record. 
Dos son los que tienen $$$$ para hacerlo, ¡y lo harán!",-1
@JorgeGCastaneda El sistema está a modo de que No lo logren.,1
@JorgeGCastaneda el problema de @PedroFerriz es que sus voluntarios no pueden obtener su registro. No llega la contraseña y no encuentras en la página del INE la aplicación para registrarse,-1
@JorgeGCastaneda y otros lo dejan colgado de la brocha - (Ríos Piter) - La caída del 'Jaguar' https://t.co/QzP8etxHvs https://t.co/3e3WITj3Ja,-1
@JorgeGCastaneda Ni las Reunirán. A menos que aparezca la mano negra del PRI gobierno,1
@JorgeGCastaneda Dr nos hizo falta ud como candidato,1
@JorgeGCastaneda That’s the idea !!!,1
@JorgeGCastaneda @CarlaEUrena Si es verdaderamente difícil el INE ficiente tiene la consigna de no dejar llegar a ningún candidato ciudadano,-1
"@JorgeGCastaneda No solo difícil, creo que imposible si hablamos del 1% del padrón, el problema es que se pone en riesgo la democracia y el derecho constitucional a ser votado",1
"@JorgeGCastaneda Es una locura, pareciera que está hecho a modo para que sólo siga existiendo la partidocracia.",1
"@JorgeGCastaneda Tu llevarías menos de 1000, te lo aseguro",-1
"@JorgeGCastaneda Tu eres demasiado sagaz,  por favor algo de información fuerte.",-1
"@JorgeGCastaneda SIN CONTAR AL BRONCO, ES LA MISMA BASURA POLÍTICA...",-1
"@JorgeGCastaneda Piedras en el camino !
Quizá Margarita si llegue 😒",1
"@JorgeGCastaneda Excelente que por fin se termine ese adefesio inflado por los medios de información llamado ""factor Margarita""  no habrá voto útil para el PRI por medio de esa manipulación mediática y todo se centra en los partidos.",-1
"@JorgeGCastaneda logrado lograr o no, pero ahí van",1
@JorgeGCastaneda Estoy seguro ni Peña con sus lame huevos podría...,1
@JorgeGCastaneda Y tu como vez la situación @JorgeGCastaneda ?  Porque aceptan candidaturas independientes si nunca los dejarán ganar. 🤨,1
"@JorgeGCastaneda Sería muy fácil para el INE poner una aplicación online, con los nombres de candidatos y cada quien se agregue al que desee, fácil.",1
"@JorgeGCastaneda Prácticamente es imposible, es plan con maña, el pais ni los ciudadanos deben ser rehenes de las “autoridades electorales” y de los partidos políticos pues ello contraviene el espíritu de la Constitución",1
"@JorgeGCastaneda Los independientes, si, los camaleones no.",1
@JorgeGCastaneda La realidad es q de los punteros ojalá no las consigan por que solo son distractores que no opción de presidentes solo les interesa su bien personal,1
@JorgeGCastaneda Y entonces adonde esta ese 30% de electores mexicanos que la apoyan? Estamos hablando de sus casi 20 millones de seguidores,1
@JorgeGCastaneda Como debió ser más tiempo o menos firmas para lograr registro?,-1
@JorgeGCastaneda Me parece que hablo muy de botepronto cuándo aseguraste semanas atrás que 3 de ellos conseguirían las firmas en automático.,-1
"@JorgeGCastaneda Lo ideal, hubiese sido un sólo candidato independiente REAL, y no tantos independientes dependientes, solo así, ya se hubiera logrado el objetivo.",-1
"@JorgeGCastaneda Pareciera que tienes que crear un partido político o pertenecer a él, de otra forma parece imposible. En fin, sólo en éste país.",1
"@JorgeGCastaneda Pasa simplemente que ninguno tiene la base social suficiente, ni de lejos, para aspirar a ser siquiera candidato. Eso yo lo escribí desde hace meses.",1
@JorgeGCastaneda cómo siempre excelente comentario con Joaquín Lopez Dóriga saludos Dr Castañeda,1
"@JorgeGCastaneda Pues son una payasada nada más. Literal, sólo me causan risa!!!",1
"@JorgeGCastaneda Por desgracia ninguno de ellos se dio a la tarea de hacer una estrategia correcta para que la gente los siguiera, aprendan a @pkumamoto que empezó de ""0"" y asi es como ha trabajado de forma correcta, él si va a estar en la silla grande (como vulgarmente le dicen)",1
"@JorgeGCastaneda Si, es un asco que nuestro sistema político electoral, tenga cínicamente secuestrada y sometida nuestra democracia​......🤔
Esta vez tendremos un presidente electo  con el 25% de votación, porque tampoco permiten 2a vuelta..
Saludos",1
"@JorgeGCastaneda Pena que ninguno de ellos te haya agradecido ni citado, siendo que fuiste @JorgeGCastaneda quien realmente abrió este camino. Yo no olvido",1
"@JorgeGCastaneda Asi es, era previsible que fuera complicado y bueno estan dando batalla. Si sería interesante un independiente en la boleta. Esperemos...",1
"@JorgeGCastaneda Especialmente El Bronco, ya mostro su cobre y la Calderona @Mzavalagc ya la gente sabe que no es ella la que quiere sino su corrupto marido el Alcoholes @FelipeCalderon  asi cuando van a juntar las firmas? A menos claro que sea pagando por ellas.",1
"@JorgeGCastaneda Es demasiado exagerado el número de firmas que piden a los candidatos independientes a la presidencia!!! Debates y que se haga una votación para elegir al mejor, eso sería Democracia",1
"@JorgeGCastaneda Definitivamente es un requerimiento elitista,no toda la gente lo entiende y aunque quiera votar por ellos no lo podrá hacer, hay muchos factores que lo impiden, no es culpa de los aspirantes es muy mala planeacion del INE y pésima idea Millenium",1
"@JorgeGCastaneda Así pasaría si cada partido le pusiera esa condicionante a sus candidatos, muchos no conseguirían ni 3000 firmas de sus propio compañeros de Partido",1
"@JorgeGCastaneda No se porque presiento que un día antes 500,000 mexicanos 'darán su apoyo súbitamente' a @Mzavalagc",1
"@JorgeGCastaneda ¿N será más fácil q regresen a sus partidos? y así nos ahorramos una lana, porque d #CandidatosIndependientes no creo q tengan algo",-1
"@JorgeGCastaneda JAMÁS conseguirán las FIRMAS, Aún que las ""Instituciones de MIERDA"" Le estén AYUDANDO",-1
"@JorgeGCastaneda No que margarita estaba muy alta en las encuestas, no debe tener problema para logra las firmas",-1
"@JorgeGCastaneda @ElFinanciero_Mx Jorge no importa a quien elija el pri, no ganara 2018 estamos cansados de tanto robo por parte del pri, tenemos que ir por un independiente, probemos peor no nos puede ir",1
"@JorgeGCastaneda @ElFinanciero_Mx Excelente reflexión, Jorge Castañeda. Saludos",1
"@JorgeGCastaneda Es una desgracia lo que pasa con los seudo precandidatos porque ninguno tiene calidad moral para ser presidente, ojalá la sociedad lo comprenda.",-1
"@JorgeGCastaneda @ElFinanciero_Mx Será entonces ""cualquier"" candidato para el caso es lo mismo. Lo vimos en la elección pasada con los que estaban en el poder. También su candidato fue nada más por llenar el hueco.",-1
"@JorgeGCastaneda @ElFinanciero_Mx Don Jorge, ¡qué buena columna y apuntes!",1
@JorgeGCastaneda ¿Que pasó con la ayuda que ibas a brindar  a Rios Piter? No te veo recolectando firmas.,1
@JorgeGCastaneda @Foro_TV Es increible lo que se debatió. Pense que el candidato del pri iba a ser escogido en el consejo del pri,1
@JorgeGCastaneda @Foro_TV https://t.co/LHhGfJ8fbo,0
@JorgeGCastaneda @RubenAguilar @Foro_TV Don Jorge lo admiro pero cada vez son más aburridos los programas de Leo y sus comentarios de ustedes para llorar.,-1
@JorgeGCastaneda @Foro_TV Nada nuevo,0
"@JorgeGCastaneda @Foro_TV Estuvo muy interesante y muy dinámico el programa, felicidades; faltaron las palabrotas nada más (la cereza del pastel), saludos. 👏",1
"@JorgeGCastaneda @Foro_TV Muchas gracias, Jorge. Saludos.",1
@JorgeGCastaneda @Foro_TV que @EPN se haga a un lado y que seamos los del @PRI_Nacional quien decidamos y está entre @osoriochong  y @JoseNarroR o no😸😸😸,0
"@JorgeGCastaneda eres un chingón maesse, por lo de Narro “en caso que fuera muy querido”",1
@JorgeGCastaneda .. podría hacerle llegar a EPN sus apuntes...  pars que aprenda https://t.co/tjK4xdyHnR,1
"@JorgeGCastaneda @Foro_TV Ese leo, NO deja hablar ...  lanza la pregunta y de inmediato interrumpe 😩 es muy grosero. Ya me arto.
Y ud Sr. no se le vió 😡",-1
@JorgeGCastaneda @ElFinanciero_Mx Soluciones reales: Disminución del número de Diputados y Senadores.,0
@JorgeGCastaneda @Foro_TV Yes !,1
@JorgeGCastaneda intelectual pirruris,-1
"@JorgeGCastaneda @Foro_TV No importa a quien ponga el pri, nadie va a votar por el nido de ratas 🐀🐀🐀🐀🐀🐀",-1
@JorgeGCastaneda @Foro_TV ¿Pregúntele a Leo si el vocero de presidencia l comentó algo n l programa de Loret? Se vio muy ligero al hablar de los “logros”d esta Admón,0
@JorgeGCastaneda @Foro_TV el destape del PRI es dedaso los delegados como en EEUU deciden @leozuckermann @aguilarcamin,0
"@JorgeGCastaneda @ElFinanciero_Mx Mediocre crecimiento, pero ¿Que se puede hacer para revertir esto?",-1
@JorgeGCastaneda @ElFinanciero_Mx Lo único seguro demostrado hasta ahora es la corrupción e impunidad y siguiendo así no habrá garantías de nada,1
@JorgeGCastaneda @ElFinanciero_Mx La mayoría de los independientes carecen de todo eso que mencionas. No hay plataforma policia ni respaldo alguno a su proyecto (si tienen),-1
@JorgeGCastaneda https://t.co/VKFdlDBl0K,0
"@JorgeGCastaneda  Soy admirador suyo. Solo cuestiono que diga ""haiga"" el lunes 23 de octubre ultimo en la hora de opinar min 8. No es la 1a",1
"@JorgeGCastaneda @ElFinanciero_Mx Coincido. Los franceses y francófilos, son hipócritas.",-1
@JorgeGCastaneda @ElFinanciero_Mx Vas a hablar d cómo nos sacaron a Florence Cassez? o de cómo nos cerraron las puertas en 2009 con la gripe aviar? o cómo 0 condolencias 19/9,-1
"@JorgeGCastaneda Mi artículo del 1 de noviembre. Agradezco comentarios y el RT

https://t.co/zzOrM53m8s",0
@JorgeGCastaneda aqui en Mexico investigacion cercana al presidente se aleja de su circulo de cuates!,1
"@JorgeGCastaneda observo la problemática de Independientes por éso se retiro a tiempo de sus
anhelos.
Pensó nada mas tendría 3 IFE's en mano",-1
@JoseAMeadeK @lopezobrador_ @PRI_Nacional  Elecciones presidenciales en 2018? Naah! Yo veo un live action mexicano de The Thundercats!! #Meade #AMLO #PRI #Morena https://t.co/jCMtB13HUA,-1
@JoseAMeadeK @Mx_Diputados Jajajajajajjajajajaj. Que buen chiste.,1
@JoseAMeadeK Excelente noticia!,1
@JoseAMeadeK @Mx_Diputados Cuando se trata de joder al pueblo mexicano están bien super coordinados y listos para la robadera.  🐀🐀🐀🐀🐀,-1
"@JoseAMeadeK @jpmorgan @Citibanamex @SantanderMx @BankofAmerica @Barclays @BBVABancomer @HSBC_MX Y Banrrobas? Ese no para que sigan endeudando hasta el tope a estados y municipios de manera irresponsable, siendo un banco de “Desarrollo”?",-1
@JoseAMeadeK y también mayor estabilidad en el mercado 👍👍,1
@JoseAMeadeK @jpmorgan @Citibanamex @SantanderMx @BankofAmerica @Barclays @BBVABancomer @HSBC_MX que bueno así se evitan prácticas monopólicas y se promueve un trato igualitario,1
@JoseAMeadeK que bien para que las instituciones que emitan títulos de deuda se adhieran a estas prácticas al llevar a cabo sus operaciones,1
@JoseAMeadeK muy bien secretario con esto habrá protección para los inversionistas,1
@JoseAMeadeK @Mx_Diputados  https://t.co/uf7ja1TjYz,0
@JoseAMeadeK la ética como base de los procesos  en las dinámicas de  mercado de valores,1
@JoseAMeadeK muy importante la mejoria de los procesos internos sobre todo,1
"@JoseAMeadeK Hola, ¿hay alguna situación en la que podamos ayudarte? -LJ",1
@JoseAMeadeK un saludo a los participantes quienes lograron el acuerdo,1
@JoseAMeadeK @Mx_Diputados Eso le parece responsable ? Darles millones a los q ya se por si no trabajan y cobran?,1
@JoseAMeadeK @jpmorgan @Citibanamex @SantanderMx @BankofAmerica @Barclays @BBVABancomer @HSBC_MX Que bueno que se mejoraron los estándares y se adoptó el nuevo código,1
@JoseAMeadeK @jpmorgan @Citibanamex @SantanderMx @BankofAmerica @Barclays @BBVABancomer @HSBC_MX reglas claras para conductas limpias en beneficio de todos,1
@JoseAMeadeK que se mantenga en los estándares que requiere,1
@JoseAMeadeK las sanas prácticas siempre abonan a la confianza,1
@JoseAMeadeK nada como las reglas y las cuentas claras,1
@JoseAMeadeK enhorabuena es un importante acuerdo,1
"@JoseAMeadeK noticia importante, se cubren muchos aspectos con la adhesión al código",1
@JoseAMeadeK muy importante consenso que dara certeza jurídica en el mercado de valores,1
@JoseAMeadeK @Mx_Diputados hay que reconocer a todos los que hicieron posible la aprobación #FinanzasPublicas,1
"@JoseAMeadeK @Mx_Diputados Muy buena noticia, el trabajo en equipo siempre es redituable",1
"@JoseAMeadeK @EPN @JoaquinColdwell y allegados presente:
YA DEJEN DE ESTAR SUBIENDO LA GASOLINA, HIJOS DE SU PUTISIMA MADRE! Y a sus socios delictuosos de gasolinerias que YA NO ROBEN litros.
Mejor Chinguen a su madre.",-1
@JoseAMeadeK @Mx_Diputados muy responsable el papel de los diputados en la aprobación,1
@JoseAMeadeK @DiputadosPRI @Mx_Diputados Y lo del grito de “eeeh puto” te parece digno de estos chimpancés que cobran??? Eres parte de la misma mierda,-1
"@JoseAMeadeK @Mx_Diputados Ojalá fuera real que se haga un presupuesto responsable, desafortunadamente no lo es.",-1
@JoseAMeadeK mucha falta hace ese código.-,1
"@JoseAMeadeK ¡Buenas tardes Lic. Meade! Le escribo de parte del portal de blockchain y criptoactivos https://t.co/Law28jSeoe, nos encantaría conversar con usted sobre su participación en el Latin American Blockchain Forum de esta semana.",1
"@JoseAMeadeK Señor, usted debe ser el próximo presidente de la republica mexicana",1
@JoseAMeadeK @Mx_Diputados coman esto https://t.co/sCOqpQ5inx,-1
@JoseAMeadeK @Mx_Diputados Meade Presidente.,1
@JoseAMeadeK Ya,0
"@JoseAMeadeK Pues si que pondrá en orden muchas cosas, al menos sobre todos irán sobre la misma metodología, siendo definida esta por entes gubernamentales, transparente y apegado a derecho.",1
@JoseAMeadeK Eres Tu.,0
@JoseAMeadeK 👏👏,1
@JoseAMeadeK El código es depredar?,0
"@JoseAMeadeK @jpmorgan @Citibanamex @SantanderMx @BankofAmerica @Barclays @BBVABancomer @HSBC_MX Todas las instituciones bancarias de México, excelente, supongo eso reglamentará ciertas prácticas que usaban para cobrar, o como para que es eso.",1
@JoseAMeadeK Que bien que metan en cintura a los banqueros de México.,1
@JoseAMeadeK @jpmorgan @Citibanamex @SantanderMx @BankofAmerica purós báncos 🔍 bájo lá 🔎,1
@JoseAMeadeK La pinche silla de casters esta que mienta madres !!! lo bueno que ya se va hdp!!!! #Reynosa #reynosafollow  @mexico,-1
@JoseAMeadeK @DiputadosPRI @Mx_Diputados Ehhh putos!,-1
@JoseAMeadeK @Mx_Diputados RATAS #CORRUPTOS MEDIOCRES,-1
@JoseAMeadeK Seguro negociarse la venta de activos del pueblo mexicano,-1
"@JoseAMeadeK @melyy220 @Mx_Diputados Un atentado vs la gobernanza del país por la manera de aprobar el #PEF2018, después de autorizarse un bono económico de $864 mil pesos, no se lo merecen! ¿Que no era momento de austeridad después del 19S? No tienen vergüenza.",-1
"@JoseAMeadeK @Mx_Diputados Debieran reducir el presupuesto de los partidos políticos, tristemente no hay claridad ni se observa beneficio de lo que gastan",-1
@JoseAMeadeK @Mx_Diputados  https://t.co/8gyDCdcuPa,0
@JoseAMeadeK @Mx_Diputados Que falsas se sienten sus palabras.,-1
"@JoseAMeadeK @Mx_Diputados todos los mexicanos esperamos unas finanzas públicas sanas, confiamos en su trabajo 👍🏼",1
@JoseAMeadeK @Mx_Diputados ¿Y por eso el jugoso bono de despedida para @Mx_Diputados? No tienen madre!,-1
"@JoseAMeadeK @Mx_Diputados esperamos el presupuesto tenga como prioridad la educación y la salud, de igual forma la reconstrucción de las zonas dañadas del sismo.",1
@JoseAMeadeK @Mx_Diputados así es me da gusto ver que hagan a un lado sus diferencias políticas y puedan trabajar para buscar el beneficio de los mexicanos,1
@JoseAMeadeK @Mx_Diputados Huevos putos,-1
@JoseAMeadeK @Mx_Diputados trabajando en equipo se hacen mejor las cosas ✌🏼,1
@JoseAMeadeK @Mx_Diputados Lo que no me gusta es el superbono que se progamaron le echan mas leña al fuego,-1
@JoseAMeadeK @Mx_Diputados Cuál trabajo? De donde les ves lo responsable? Se acaban de autorizar mega bono por NO HACER NADA! No sean cómplices! Basta de saqueos! 💸💸🐀🐀,-1
@JoseAMeadeK @Mx_Diputados ¿así o más claro de cómo tienen secuestradas las Instituciones y Poderes del país?,-1
@JoseAMeadeK @Mx_Diputados Cc @brozoxmiswebs,0
@JoseAMeadeK @Mx_Diputados  https://t.co/zqU5B9SyTG,0
"@JoseAMeadeK @Mx_Diputados MISERABLES DELINCUENTES @Mx_Diputados DISFRAZADOS DE POLÍTICOS RATAS Y CORRUPTOS , SU AMBICIÓN DESMEDIDA DE PODER NO TIENE LÍMITES, REPRESENTAN SUS INTERESES PERSONALES.",-1
@JoseAMeadeK @Mx_Diputados No pues qué manera de regarla @JoseAMeadeK reconoce que!!?? el trabajo de quien!?? parásitos corruptos @MxDiputados_  tienes que convencer a los votantes con trabajo y con un sistema tributario honesto.No para los corruptos ricos y servidores públicos evasores de impuestos,-1
@JoseAMeadeK @Mx_Diputados PINCHES PUERCOS LADRONES CORRUPTOS,-1
"@JoseAMeadeK @Mx_Diputados ¿Al decir “nuestras”, a quien te refieres?",0
"@JoseAMeadeK @CCQ_PRI @Mx_Diputados No tienen madre, ni un solo diputado se tomo la molestia de leerlo o analizar su impacto, 11 minutos les tomo aprobarlo, nuestros representantes son unos imbéciles! Mediocres",-1
@JoseAMeadeK @Mx_Diputados En Veracruz estamos apoyándolo para que sea usted el Próximo Presidente,1
"@JoseAMeadeK @Mx_Diputados Ese rollo no convence a nadie, menos a ti, inepto.",-1
@JoseAMeadeK @Mx_Diputados Para ustedes nada mas,0
"@JoseAMeadeK @Mx_Diputados Las finanzas publicas sanas son lo principal para mantener este país a flote, buen trabajo .",1
"@JoseAMeadeK @Mx_Diputados Los diputados del @PRI_Nacional @AccionNacional @MovCiudadanoMX @PRDMexico @partidoverdemex @PesMorelosof @NuevaAlianza son unos corruptos y traidores, solapando todo al gobierno federal.con más razón vamos con MORENA",-1
"@JoseAMeadeK @Mx_Diputados Es bueno saber que todo se coordinan por un mejor México, haciendo a un lado sus diferencias políticas.",1
@JoseAMeadeK el ceniciento de Salinas aún así votarias por el? https://t.co/hgdIzPQY4f,-1
@JoseAMeadeK  ☘️la opción inteligente para México #Presidenciales2017,1
@JoseAMeadeK https://t.co/GL82LQxUOp,0
"@JoseAMeadeK, ¿sobrevalorado? Mi columna en @El_Universal_Mx https://t.co/NBLefipxDc #felizviernes #PRI #elecciones2018 #candidatos #2018 https://t.co/OPtForGW5P",0
"@JoseAMeadeK @Tec_CSF Gracias por interesarse en escucharnos, esto demuestra el compromiso que tiene con todos los sectores.",1
"@JoseAMeadeK @Tec_CSF Por una módica cantidad, le reviso sus tuits para que no los envíe sin acentos, no queme a lo burro",-1
@JoseAMeadeK  Ya tiene todo listo? Nunca tendrá mi voto! @NO_PRI_2018 @Milenio @MtyFollow @Mx_Diputados @senadomexicano @washingtonpost @nytimes #Mexico #CDMX #Edomex @lasillarota @PresidenciaMX @osoriochong @aurelionuno #Tampico https://t.co/ZgkXxfysy5,-1
"@JoseAMeadeK @Tec_CSF Que bueno que los jóvenes se interesen por al vida política del pais, de su futuro, entre todos podesmo hacer un gran equipo por #Mexico . Saludos. #FelizViernes #FelizFinDeSemana #QueMeRecuerdenPor",1
"@JoseAMeadeK Si quieres que el pais avanze de verdad, entonces confiesa tus #crimenes, junto a los que ayuden a encarcelar a @EPN, @EnriqueOchoaR y el resto del @PRI_Nacional junto a sus partidos titere #VerdeEcologista, #NuevaAlianza y #EncuentroSocial. No permitiremos otro #FraudeElectoral. https://t.co/l1YlfSKeAI",-1
"@JoseAMeadeK @EPN @Pemex hey bola de rateros de mierda, hoy en GDL y Zapopan amaneció la gasolina roja en 18.51! y para cuando se supone que baja el precio? #NoAlGasolinazo",-1
@JoseAMeadeK @Tec_CSF  https://t.co/uLTNvdfK6q,0
@JoseAMeadeK @Tec_CSF  https://t.co/8TQfbgPuwi,0
@JoseAMeadeK Inche dienton ya te saboreas esa lana💩💩,-1
@JoseAMeadeK @Tec_CSF Y eso en el tema económico etc cómo está el tema. O es campaña política,1
@JoseAMeadeK #SABIAS QUE? RECONSTRUCCIÓN MEXICO 36 MIL MILLONES PESOS.GASTOS DE PEÑA PUBLICIDAD 60MIL MILLONES DE PESOS ......Indignante el gasto de Peña con nuestro dinero,-1
